"Date","MaerskB","FLSmidth","NovoNordisk","OilPrice"
2012-02-17,8278.56,440.1,155.5,583.19
2012-02-20,8376.2,458,156.9,589.205
2012-02-21,8264.61,455.4,156,595.22
2012-02-22,7804.31,453.4,156.9,597.38
2012-02-23,7762.46,442.7,159.3,602.99
2012-02-24,7936.82,451.4,158.8,608.61
2012-02-27,7643.9,446.3,157,602.96
2012-02-28,7664.82,450,159.8,588.86
2012-02-29,7846.15,444,156.5,592.23
2012-03-01,8125.13,445,158.2,607.86
2012-03-02,8006.56,443.4,158.9,600.19
2012-03-05,7860.1,436.5,158.9,600.13
2012-03-06,7560.2,415.2,155.6,591.79
2012-03-07,7560.2,423,157.3,601.56
2012-03-08,7553.23,427,157,598.37
2012-03-09,7832.2,436.5,159.7,605.37
2012-03-12,7832.2,427,160.6,602.65
2012-03-13,7943.79,427.7,161.2,607.62
2012-03-14,7853.13,426.4,160.2,600.11
2012-03-15,7846.15,425,159.9,598.51
2012-03-16,7818.26,423.9,160.7,606.93
2012-03-19,7685.74,411,161.8,611.18
2012-03-20,7567.18,405.8,162,594.98
2012-03-21,7483.49,405.6,162.7,603.09
2012-03-22,7525.33,399.5,159,594.95
2012-03-23,7650.87,409.3,156.3,600.09
2012-03-26,7622.97,408.5,158.8,599.45
2012-03-27,7497.43,400.1,156.4,598.57
2012-03-28,7469.54,390.8,158.9,587.71
2012-03-29,7218.46,387.6,154.6,575.95
2012-03-30,7511.38,391.6,154.5,573.87
2012-04-02,7622.97,396.5,163.1,587.87
2012-04-03,7720.61,398.5,167,581.21
2012-04-04,7469.54,378.5,163.5,574.42
2012-04-10,7218.46,370,164.8,573.08
2012-04-11,7232.41,374.3,163.6,581.73
2012-04-12,7406.77,384.4,165.1,586.12
2012-04-13,7197.54,377.9,164.8,581.77
2012-04-16,7253.33,374.3,168.4,587.91
2012-04-17,7246.36,383.3,170.8,590.32
2012-04-18,7309.13,377.3,170,583.33
2012-04-19,7357.95,382.2,171,581.36
2012-04-20,7260.31,384.9,170.8,581.08
2012-04-23,7148.72,371.6,168.4,584.2
2012-04-24,7190.56,380,167.2,585.39
2012-04-25,7197.54,386.5,167.2,586.58
2012-04-26,7288.2,388,167.7,588.55
2012-04-27,7602.05,399,162.7,590.01
2012-04-30,7664.82,395,165.8,590.37
2012-05-01,7776.41,392.1,164.6,595.33
2012-05-02,7734.56,380.2,165.4,596.05
2012-05-03,7741.54,380.2,169,581.18
2012-05-07,7588.1,366.8,167.4,558.85
2012-05-08,7448.61,353,167.8,553.89
2012-05-09,7218.46,346,165.2,555.82
2012-05-10,7260.31,353,165.1,556.78
2012-05-11,7155.69,358.8,167.4,552.05
2012-05-14,6953.44,348.4,163.7,547.71
2012-05-15,7030.15,319,161.6,543.96
2012-05-16,6597.74,316.6,165,541.58
2012-05-21,6625.64,321.8,168.3,539.59
2012-05-22,6650.05,337.2,168.9,533.52
2012-05-23,6454.77,318.4,165.6,527.77
2012-05-24,6472.2,323.7,164.8,536.53
2012-05-25,6412.92,323.2,167.8,538.16
2012-05-29,6555.9,334.8,165.3,538.53
