"Date","Genmab","Lundbeck","SydBank","USD"
2011-12-15,26.7,105.3,87,5.71
2011-12-16,26.56,103.5,88.2,5.69
2011-12-19,28.2,103.4,88.4,5.7
2011-12-20,33.85,105.3,89.5,5.69
2011-12-21,36.22,105.5,89.8,5.69
2011-12-22,36.2,106,89.7,5.7
2011-12-23,36.5,109.1,90.9,5.69
2011-12-27,36.97,109,90.35,5.69
2011-12-28,37.4,109.4,89.5,5.69
2011-12-29,37.02,110.6,89.5,5.77
2011-12-30,37.6,108,90.1,5.75
2012-01-02,37.79,110.6,91.8,5.75
2012-01-03,38.9,111.6,92.25,5.71
2012-01-04,37.22,109.5,91.3,5.74
2012-01-05,37,109.9,89.9,5.79
2012-01-06,36.28,109.5,89,5.82
2012-01-09,34.8,111,89.05,5.84
2012-01-10,34.94,111.8,89.55,5.81
2012-01-11,34.84,111.5,89.45,5.85
2012-01-12,35,110,89.25,5.84
2012-01-13,39,110.1,89.5,5.82
2012-01-16,37.76,111.2,89.4,5.87
2012-01-17,39.6,111.8,88.25,5.81
2012-01-18,40.8,111.1,87.4,5.8
2012-01-19,43.49,110.8,89,5.76
2012-01-20,49.38,110.5,91,5.76
2012-01-23,47.31,109,97.8,5.71
2012-01-24,45.11,109,97.55,5.72
2012-01-25,46.57,108.6,99.45,5.74
2012-01-26,47.34,109.5,101.6,5.66
2012-01-27,45.57,110.8,100.4,5.66
2012-01-30,44.2,110.2,97,5.67
2012-01-31,44.65,112,96.85,5.64
2012-02-01,45.8,113.4,101.5,5.64
2012-02-02,44.99,112.2,104,5.68
2012-02-03,45,113,105.8,5.65
2012-02-06,46.09,113.6,107.7,5.7
2012-02-07,44.32,114.8,108.9,5.67
2012-02-08,43.01,112.9,110,5.6
2012-02-09,41,112.6,111.3,5.59
2012-02-10,42.98,113.4,110.8,5.64
2012-02-13,43.06,114.9,113,5.61
2012-02-14,42.7,114.9,110,5.64
2012-02-15,43.87,115,113.9,5.68
2012-02-16,43.03,115,111.8,5.73
2012-02-17,44.04,113.5,114.5,5.65
